,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,NumberOfUse,BuildingAge,SiteEnergyUse(log(kBtu))
0,1,NonResidential,Hotel,Downtown,1927,1.0,12,88434,0,88434,Hotel,88434.0,Without,0.0,Without,0.0,60.0,182.5,7226362.5,2003882.0,3946027.0,1276453.0,Compliant,Not outlier,249.98,2.83,1,89,15.793246355498427
1,2,NonResidential,Hotel,Downtown,1996,1.0,11,103566,15064,88502,Hotel,83880.0,Parking,15064.0,Restaurant/Bar,4622.0,61.0,176.1000061,8387933.0,0.0,3242851.0,5145082.0,Compliant,Not outlier,295.86,2.86,3,20,15.942304683370711
2,3,NonResidential,Hotel,Downtown,1969,1.0,41,956110,196718,759392,Hotel,756493.0,Without,0.0,Without,0.0,43.0,241.8999939,72587024.0,21566554.0,49526664.0,1493800.0,Compliant,Not outlier,2089.28,2.19,1,47,18.10029673103805
3,5,NonResidential,Hotel,Downtown,1926,1.0,10,61320,0,61320,Hotel,61320.0,Without,0.0,Without,0.0,56.0,216.1999969,6794584.0,2214446.25,2768924.0,1811213.0,Compliant,Not outlier,286.43,4.67,1,90,15.731636382206883
5,9,Nonresidential COS,Other,Downtown,1999,1.0,2,97288,37198,60090,Public service,88830.0,Without,0.0,Without,0.0,,316.2999878,12086616.0,0.0,7371434.0,4715182.0,Compliant,Not outlier,301.81,3.1,1,17,16.307609282667034
6,10,NonResidential,Hotel,Downtown,1926,1.0,11,83008,0,83008,Hotel,81352.0,Without,0.0,Without,0.0,27.0,146.6000061,5758795.0,0.0,2811215.0,2947580.0,Compliant,Not outlier,176.14,2.12,1,90,15.566238809397522
7,11,NonResidential,Other,Downtown,1926,1.0,8,102761,0,102761,Entertainment,102761.0,Without,0.0,Without,0.0,,141.6999969,6298131.5,2276286.5,3636655.0,385189.0,Compliant,Not outlier,221.51,2.16,1,90,15.655763560069461
8,12,NonResidential,Hotel,Downtown,1904,1.0,15,163984,0,163984,Hotel,163984.0,Without,0.0,Without,0.0,43.0,180.8999939,13723820.0,0.0,7297919.0,6425900.0,Compliant,Not outlier,392.16,2.39,1,112,16.43464356716476
10,15,NonResidential,Hotel,Downtown,1969,1.0,11,153163,19279,133884,Hotel,133884.0,Without,0.0,Without,0.0,30.0,228.1999969,16016644.0,5237165.5,6187627.0,4591850.0,Compliant,Not outlier,691.26,4.51,1,47,16.589138989518958
11,16,NonResidential,Hotel,Downtown,1998,1.0,25,333176,61161,272015,Hotel,336640.0,Without,0.0,Without,0.0,36.0,199.0,26941110.0,5999360.5,18083049.0,2858700.0,Compliant,Not outlier,740.97,2.22,1,18,17.10916393077029
12,17,NonResidential,Hotel,Downtown,1928,1.0,9,65009,0,65009,Hotel,65009.0,Without,0.0,Without,0.0,48.0,153.6000061,6596057.5,1656352.5,1343000.0,3596705.0,Compliant,Not outlier,328.23,5.05,1,88,15.701982680028118
14,19,NonResidential,Hotel,Downtown,1922,1.0,11,92190,25200,66990,Hotel,67390.0,Parking,25200.0,Without,0.0,35.0,297.3999939,10750010.0,4870847.5,3832369.0,2046793.0,Compliant,Not outlier,511.39,5.55,2,94,16.19041724277007
15,21,Nonresidential COS,Other,Downtown,2004,1.0,11,412000,57000,355000,Public service,364913.0,Parking,49000.0,Data Center,1074.0,,155.6000061,18588860.0,737559.5,17851297.0,0.0,Compliant,Not outlier,181.38,0.44,3,12,16.738073034525183
17,23,NonResidential,Hotel,Downtown,1983,1.0,28,416281,85000,331281,Hotel,348329.0,Parking,85000.0,Without,0.0,31.0,228.5,33556756.0,0.0,21225277.0,12331475.0,Compliant,Not outlier,802.89,1.93,2,33,17.328748772197457
18,24,NonResidential,Mixed Use Property,Downtown,1907,1.0,5,57452,0,57452,Meeting Hall,16442.0,Restaurant/Bar,15505.0,Office,9741.0,,280.7000122,7606084.5,1776201.875,3764791.0,2065091.0,Compliant,Not outlier,273.02,4.75,5,109,15.844459077058906
19,25,NonResidential,Hotel,Downtown,1916,1.0,10,104352,0,104352,Hotel,104352.0,Without,0.0,Without,0.0,39.0,225.5,10154608.0,3430862.0,5908370.0,815376.0,Compliant,Not outlier,349.32,3.35,1,100,16.133438150577508
20,26,NonResidential,Other,Downtown,1916,1.0,10,540360,0,540360,Public service,537150.0,Without,0.0,Without,0.0,76.0,182.6999969,44984468.0,0.0,24357833.0,20626631.0,Compliant,Not outlier,1265.29,2.34,1,100,17.62182783259915
21,27,NonResidential,Other,Downtown,1985,1.0,19,385274,0,385274,Other,385274.0,Without,0.0,Without,0.0,,229.5,47859812.0,0.0,18257661.0,29602150.0,Compliant,Not outlier,1699.45,4.41,1,31,17.683786712313093
22,28,SPS-District K-12,Education,Southeast,1961,1.0,2,56228,0,56228,Education,58916.0,Without,0.0,Without,0.0,95.0,60.70000076,1539478.5,0.0,936955.0,602523.0,Error - Correct Default Data,Not outlier,38.53,0.69,1,55,14.246954280675935
23,29,NonResidential,Hotel,Northeast,2001,1.0,6,88592,30586,58006,Hotel,58006.0,Parking,30586.0,Without,0.0,84.0,148.0,3663534.5,0.0,2266231.0,1397303.0,Compliant,Not outlier,90.01,1.02,2,15,15.11393894976178
24,30,NonResidential,Education,Downtown,1928,1.0,7,126593,0,126593,Education,125000.0,Without,0.0,Without,0.0,,173.0,11343686.0,0.0,4647474.0,6696211.0,Compliant,Not outlier,388.04,3.07,1,88,16.244171847540205
25,31,NonResidential,Other,Downtown,1930,1.0,2,67224,0,67224,Retail Store,67224.0,Without,0.0,Without,0.0,,61.20000076,1310236.625,0.0,1310236.0,0.0,Compliant,Not outlier,9.13,0.14,1,86,14.085718308636734
26,32,NonResidential,Hotel,East,1991,1.0,8,158676,30301,128375,Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,58.0,5328051.5,0.0,572307.0,4755745.0,Compliant,Not outlier,256.57,1.62,4,25,15.488496157071564
27,33,NonResidential,Hotel,Downtown,2001,1.0,10,171866,38281,133585,Hotel,128909.0,Without,0.0,Without,0.0,57.0,181.1000061,11061916.0,0.0,5610706.0,5451210.0,Compliant,Not outlier,328.63,1.91,1,15,16.219018775944377
29,35,NonResidential,Hotel,Downtown,1978,1.0,5,68410,16200,52210,Hotel,47994.0,Without,0.0,Without,0.0,57.0,199.6999969,4456714.5,0.0,2346349.0,2110365.0,Compliant,Not outlier,128.44,1.88,1,38,15.309922393336711
30,36,SPS-District K-12,Education,North,1949,1.0,2,160645,0,160645,Education,164229.0,Without,0.0,Without,0.0,75.0,68.09999847,6779173.0,0.0,1947601.0,4831572.0,Error - Correct Default Data,Not outlier,270.18,1.68,1,67,15.729365676075671
32,38,NonResidential,Office,Lake union,1906,1.0,3,87262,0,87262,Office,40943.0,Education,18153.0,Entertainment,4307.0,,106.5,4145920.5,0.0,1352843.0,2793077.0,Compliant,Not outlier,157.77,1.81,4,110,15.237635396685478
33,40,NonResidential,Hotel,Northeast,1994,1.0,4,81871,0,81871,Hotel,81871.0,Without,0.0,Without,0.0,29.0,162.5,6668568.5,0.0,3016399.0,3652169.0,Compliant,Not outlier,215.0,2.63,1,22,15.71291577716698
34,41,NonResidential,Self-Storage Facility,Northeast,1955,1.0,2,110356,0,110356,Self-Storage Facility,26225.0,Without,0.0,Without,0.0,,35.20000076,318364.8125,0.0,281265.0,37100.0,Compliant,Not outlier,3.93,0.04,1,61,12.670953213340272
37,50,SPS-District K-12,Education,Magnolia / queen anne,1990,1.0,2,54986,0,54986,Education,54986.0,Without,0.0,Without,0.0,97.0,77.80000305,1650279.25,0.0,1217589.0,432690.0,Compliant,Not outlier,31.47,0.57,1,26,14.316455073981123
38,51,SPS-District K-12,Education,Northeast,1950,1.0,2,175565,0,175565,Education,182861.0,Without,0.0,Without,0.0,88.0,55.0,6399127.5,0.0,1599684.0,4799443.0,Error - Correct Default Data,Not outlier,266.05,1.52,1,66,15.671672210911376
39,52,NonResidential,Office,Ballard,1961,1.0,2,94900,0,94900,Office,55586.0,Warehouse,39314.0,Without,0.0,57.0,163.0,6186461.5,0.0,4291585.0,1894876.0,Compliant,Not outlier,130.56,1.38,2,55,15.637873833388806
41,54,NonResidential,Education,Northwest,1954,1.0,3,175015,0,175015,Education,175015.0,Without,0.0,Without,0.0,95.0,74.0,6994740.5,0.0,2679739.0,4315001.0,Compliant,Not outlier,247.85,1.42,1,62,15.760669067466482
42,55,NonResidential,Self-Storage Facility,Downtown,1911,1.0,3,70586,0,70586,Self-Storage Facility,38439.0,Education,28197.0,Office,3859.0,,76.59999847,2158629.0,0.0,1500229.0,658400.0,Compliant,Not outlier,45.43,0.64,3,105,14.584983855916699
43,56,NonResidential,Hotel,Downtown,1969,1.0,24,332210,205970,126240,Hotel,348630.0,Without,0.0,Without,0.0,67.0,121.8000031,16163194.0,0.0,12204406.0,3958787.0,Compliant,Not outlier,295.33,0.89,1,47,16.59824724004218
44,57,NonResidential,Office,Downtown,1973,1.0,5,168115,0,168115,Office,103362.0,Retail Store,65676.0,Data Center,493.0,78.0,176.6000061,9536161.0,0.0,9536160.0,0.0,Compliant,Not outlier,66.48,0.4,3,43,16.070601551534008
45,58,NonResidential,Other,Downtown,1920,1.0,2,57428,0,57428,Retail Store,51747.0,Retail Store,5681.0,Without,0.0,,48.79999924,1247362.0,0.0,714939.0,532423.0,Compliant,Not outlier,33.26,0.58,4,96,14.036541479246345
46,59,NonResidential,Office,Downtown,1910,1.0,8,59400,0,59400,Office,34947.0,Retail Store,4993.0,Without,0.0,14.0,398.7000122,5071974.0,0.0,5071973.0,0.0,Compliant,Not outlier,35.36,0.6,2,106,15.439240648903095
47,60,NonResidential,Mixed Use Property,Downtown,1926,1.0,2,52549,0,52549,Entertainment,23500.0,Restaurant/Bar,23500.0,Office,5459.0,,485.2999878,15026196.0,0.0,4632459.0,10393737.0,Compliant,Not outlier,584.31,11.12,3,90,16.52530563588314
48,62,NonResidential,Hotel,Downtown,1930,1.0,20,98634,10043,88591,Hotel,83591.0,Parking,10043.0,Restaurant/Bar,5000.0,71.0,158.6000061,4841347.5,0.0,4290059.0,551288.0,Compliant,Not outlier,59.19,0.6,3,86,15.392703649035104
51,66,NonResidential,Hotel,Downtown,1908,1.0,7,122810,0,122810,Hotel,88360.0,Entertainment,26450.0,Retail Store,8000.0,99.0,68.19999695,5401277.5,0.0,1293561.0,4107716.0,Compliant,Not outlier,227.18,1.85,3,108,15.502146057629343
52,67,NonResidential,Hotel,Lake union,1959,1.0,5,113173,42546,70627,Hotel,70627.0,Parking,42546.0,Without,0.0,86.0,165.6999969,5284343.5,0.0,2944680.0,2339663.0,Compliant,Not outlier,144.79,1.28,2,57,15.480258950081476
53,68,NonResidential,Hotel,Lake union,2000,1.0,7,150453,34735,115718,Hotel,107547.0,Restaurant/Bar,3000.0,Without,0.0,84.0,128.0,6715187.0,0.0,3396109.0,3319078.0,Compliant,Not outlier,199.95,1.33,1,16,15.719882235652989
54,69,NonResidential,Hotel,Lake union,1997,1.0,6,116300,28200,88100,Hotel,88490.0,Parking,28300.0,Without,0.0,80.0,144.5,5827595.5,0.0,3188457.0,2639138.0,Compliant,Not outlier,162.39,1.4,1,19,15.578115037574157
55,70,NonResidential,Hotel,Magnolia / queen anne,1998,1.0,6,155602,36744,118858,Hotel,155602.0,Without,0.0,Without,0.0,81.0,107.4000015,6836900.0,0.0,4558937.0,2277962.0,Compliant,Not outlier,152.76,0.98,1,18,15.737844970490881
56,73,NonResidential,Education,East,1911,1.0,3,56072,0,56072,Education,56072.0,Without,0.0,Without,0.0,76.0,81.09999847,3234787.75,0.0,551867.0,2682920.0,Compliant,Not outlier,146.34,2.61,1,105,14.989473873254628
57,77,NonResidential,Hotel,Magnolia / queen anne,1999,1.0,4,122942,44891,78051,Hotel,78051.0,Parking,44891.0,Without,0.0,94.0,136.6999969,5337334.0,0.0,2423730.0,2913604.0,Compliant,Not outlier,171.64,1.4,2,17,15.490236835332803
58,82,NonResidential,Office,Central,1962,1.0,2,54984,0,54984,Office,54984.0,Without,0.0,Without,0.0,71.0,139.6000061,3375211.0,0.0,1978230.0,1396981.0,Compliant,Not outlier,87.98,1.6,1,54,15.031968398853085
60,85,NonResidential,Senior Care Community,Northwest,1970,1.0,2,93397,0,93397,Senior Care Community,93397.0,Without,0.0,Without,0.0,1.0,311.5,16402563.0,0.0,5679498.0,10723064.0,Compliant,Not outlier,609.1,6.52,1,46,16.61294816107171
61,86,NonResidential,Hotel,Lake union,2008,1.0,6,84103,20732,63371,Hotel,63371.0,Parking,20732.0,Without,0.0,74.0,154.1999969,3706100.25,0.0,2812688.0,893412.0,Compliant,Not outlier,67.06,0.8,2,8,15.125490736190127
63,89,NonResidential,Medical Office,East,1965,1.0,3,179014,0,179014,Hospital/Residential Care Facility,179014.0,Without,0.0,Without,0.0,48.0,213.3999939,16701055.0,0.0,9886484.0,6814570.0,Compliant,Not outlier,430.84,2.41,1,51,16.630982449044307
64,95,NonResidential,Hotel,East,1908,1.0,7,76631,0,76631,Hotel,76631.0,Without,0.0,Without,0.0,71.0,172.0,7258758.5,0.0,2660742.0,4598016.0,Compliant,Not outlier,262.75,3.43,1,108,15.797719366668227
65,96,NonResidential,Mixed Use Property,East,1983,1.0,6,99780,9341,90439,Hospital/Residential Care Facility,40174.0,Parking,20868.0,Office,17020.0,,505.7999878,15473117.0,5327802.5,10145313.0,0.0,Compliant,Not outlier,481.97,4.83,6,33,16.554614689002065
68,102,NonResidential,Hotel,Lake union,1990,1.0,7,282863,44766,238097,Hotel,235788.0,Parking,51537.0,Without,0.0,37.0,184.0,19459304.0,0.0,10980652.0,8478651.0,Compliant,Not outlier,526.85,1.86,2,26,16.78383586840935
70,104,Nonresidential COS,Other,Magnolia / queen anne,1962,1.0,1,91213,0,91213,Other,65000.0,Without,0.0,Without,0.0,,261.7000122,8141155.5,4120130.0,3754115.0,0.0,Compliant,Not outlier,344.2,3.77,1,54,15.912442681221258
76,113,NonResidential,Office,Magnolia / queen anne,1986,1.0,2,66240,2352,63888,Office,45900.0,Data Center,5181.0,Distribution Center,4551.0,,235.1999969,4166306.25,0.0,4166305.0,0.0,Compliant,Not outlier,29.04,0.44,5,30,15.242540409863079
77,114,NonResidential,Office,Magnolia / queen anne,2010,1.0,6,920598,303707,616891,Office,729584.0,Parking,185014.0,Other,6000.0,93.0,130.8000031,36667044.0,0.0,27597261.0,9069780.0,Compliant,Not outlier,674.09,0.73,3,6,17.41738892594472
78,115,NonResidential,Office,Magnolia / queen anne,1970,1.0,4,76213,25930,50283,Office,48546.0,Parking,21454.0,Other,2406.0,68.0,192.3999939,3476212.5,0.0,2944692.0,531520.0,Compliant,Not outlier,48.76,0.64,3,46,15.061453896985611
79,116,NonResidential,Hotel,Magnolia / queen anne,2002,1.0,6,96910,36934,59976,Hotel,59976.0,Parking,36934.0,Without,0.0,56.0,182.1999969,5155568.5,0.0,2637011.0,2518558.0,Compliant,Not outlier,152.14,1.57,2,14,15.455587950632975
80,117,NonResidential,Hotel,Northeast,1962,2.0,4,50017,0,50017,Hotel,50017.0,Sport center,0.0,Without,0.0,53.0,203.3000031,5448975.0,0.0,2128306.0,3320669.0,Compliant,Not outlier,191.2,3.82,2,54,15.510938075556913
82,119,NonResidential,Education,East,1923,1.0,3,67743,0,67743,Education,67743.0,Without,0.0,Without,0.0,34.0,82.30000305,2646879.0,0.0,1337786.0,1309093.0,Compliant,Not outlier,78.85,1.16,1,93,14.788891768037471
83,120,NonResidential,Education,East,1908,1.0,6,194104,0,194104,Education,194104.0,Without,0.0,Without,0.0,100.0,54.0,6219841.5,0.0,1887893.0,4331949.0,Compliant,Not outlier,243.23,1.25,1,108,15.64325498207557
84,121,NonResidential,Office,Southeast,2003,1.0,3,99433,35752,63681,Office,63681.0,Parking,35752.0,Without,0.0,63.0,241.5,4897760.0,0.0,4897760.0,0.0,Compliant,Not outlier,34.14,0.34,2,13,15.404288515702062
86,125,SPS-District K-12,Education,Greater duwamish,1957,1.0,1,130862,0,130862,Education,134446.0,Without,0.0,Without,0.0,61.0,85.59999847,6456026.0,0.0,2262820.0,4193207.0,Error - Correct Default Data,Not outlier,238.48,1.82,1,59,15.680524516185274
87,127,SPS-District K-12,Education,Southeast,1989,1.0,3,59955,0,59955,Education,59955.0,Without,0.0,Without,0.0,93.0,78.69999695,1633399.375,0.0,1436416.0,196983.0,Error - Correct Default Data,Not outlier,20.48,0.34,1,27,14.306173907268796
88,130,SPS-District K-12,Education,Magnolia / queen anne,1964,1.0,2,93218,0,93218,Education,93218.0,Without,0.0,Without,0.0,86.0,65.90000153,2887392.0,0.0,1486758.0,1400634.0,Error - Correct Default Data,Not outlier,84.75,0.91,1,52,14.875864230515289
89,131,NonResidential,Other,Northeast,1941,1.0,4,56521,0,56521,Other,49000.0,Without,0.0,Without,0.0,,407.3999939,6357632.0,0.0,6357631.0,0.0,Compliant,Not outlier,44.32,0.78,1,75,15.665166538941357
92,137,SPS-District K-12,Education,Northwest,1963,1.0,2,131013,0,131013,Education,131909.0,Without,0.0,Without,0.0,88.0,59.09999847,3894584.5,0.0,1775488.0,2119097.0,Error - Correct Default Data,Not outlier,124.92,0.95,1,53,15.175097556372132
93,138,SPS-District K-12,Education,Northwest,1959,1.0,1,245587,0,245587,Education,245587.0,Without,0.0,Without,0.0,92.0,83.69999695,11765682.0,0.0,3926011.0,7839670.0,Compliant,Not outlier,443.73,1.81,1,57,16.280697547014274
94,139,NonResidential,Hotel,Northwest,2002,1.0,3,69138,0,69138,Hotel,70609.0,Without,0.0,Without,0.0,78.0,101.5999985,3242458.0,0.0,1802889.0,1439568.0,Compliant,Not outlier,89.02,1.29,1,14,14.991842242120457
97,145,Nonresidential COS,Other,Downtown,1998,1.0,6,284100,0,284100,Entertainment,189750.0,Without,0.0,Without,0.0,,192.5,14641502.0,4311136.0,9803021.0,527343.0,Compliant,Not outlier,429.12,1.51,1,18,16.499370656863285
101,167,NonResidential,Other,Downtown,1910,1.0,4,72820,13820,59000,Entertainment,58000.0,Without,0.0,Without,0.0,,83.69999695,2010454.625,0.0,1311669.0,698785.0,Compliant,Not outlier,46.26,0.64,1,106,14.513871436052098
102,168,NonResidential,Hotel,Magnolia / queen anne,1996,1.0,4,162222,14200,148022,Hotel,113702.0,Parking,32692.0,Without,0.0,76.0,150.5,7946961.0,0.0,4197462.0,3749499.0,Compliant,Not outlier,228.4,1.41,2,20,15.888300149398006
103,169,SPS-District K-12,Education,Southeast,1990,1.0,4,289588,0,289588,Education,289588.0,Without,0.0,Without,0.0,90.0,78.5,8819852.0,0.0,6449764.0,2370086.0,Error - Correct Default Data,Not outlier,170.84,0.59,1,26,15.992515647796836
104,170,NonResidential,Education,East,1915,1.0,3,63330,0,63330,Education,64820.0,Without,0.0,Without,0.0,,111.1999969,3059758.0,0.0,1911064.0,1148694.0,Compliant,Not outlier,74.33,1.17,1,101,14.933846385833862
106,173,NonResidential,Office,Northeast,2002,1.0,2,96300,0,96300,Office,92300.0,Data Center,4944.0,Without,0.0,,476.5,16319835.0,0.0,13973696.0,2346137.0,Compliant,Not outlier,222.02,2.31,2,14,16.60789179715501
107,174,Nonresidential COS,Other,Greater duwamish,1950,1.0,1,67356,0,67356,Retail Store,68359.0,Without,0.0,Without,0.0,,242.6999969,7475577.5,0.0,4182001.0,3293576.0,Compliant,Not outlier,204.08,3.03,4,66,15.827151931781898
108,175,SPS-District K-12,Education,Central,2008,1.0,3,254523,0,254523,Education,254523.0,Without,0.0,Without,0.0,60.0,120.3000031,13567774.0,0.0,7835065.0,5732708.0,Error - Correct Default Data,Not outlier,359.09,1.41,1,8,16.42320798003547
109,176,SPS-District K-12,Education,Southeast,2001,1.0,3,78804,0,78804,Education,78804.0,Without,0.0,Without,0.0,92.0,76.90000153,2499140.0,0.0,1645214.0,853926.0,Error - Correct Default Data,Not outlier,56.82,0.72,1,15,14.731457230656856
110,177,SPS-District K-12,Education,Central,2002,1.0,3,66994,0,66994,Education,66994.0,Without,0.0,Without,0.0,79.0,94.09999847,2371304.5,0.0,1824845.0,546459.0,Error - Correct Default Data,Not outlier,41.74,0.62,1,14,14.678950783625648
111,178,SPS-District K-12,Education,Greater duwamish,2000,1.0,3,98357,0,98357,Education,98357.0,Without,0.0,Without,0.0,88.0,77.80000305,3456131.5,0.0,1927067.0,1529064.0,Error - Correct Default Data,Not outlier,94.64,0.96,1,16,15.055660457950728
112,179,NonResidential,Office,Greater duwamish,1958,1.0,1,54765,0,54765,Office,25765.0,Other,25000.0,Without,0.0,,234.8999939,4253369.5,0.0,3569337.0,684032.0,Compliant,Not outlier,61.21,1.12,2,58,15.263222050311454
113,180,NonResidential,Other,Greater duwamish,2009,1.0,5,89821,0,89821,Residence Hall,46483.0,Office,37938.0,Restaurant/Bar,4579.0,,24.60000038,1950092.5,0.0,67462.0,1882631.0,Compliant,Not outlier,100.46,1.12,3,7,14.48338736531232
114,182,NonResidential,Education,Magnolia / queen anne,1980,1.0,2,52611,0,52611,Education,52611.0,Without,0.0,Without,0.0,,180.6999969,4116871.5,0.0,2479273.0,1637598.0,Compliant,Not outlier,104.26,1.98,1,36,15.230604088217328
115,183,NonResidential,Residence Hall,Magnolia / queen anne,2001,1.0,4,139600,37500,102100,Residence Hall,135520.0,Without,0.0,Without,0.0,89.0,70.19999695,4448582.5,0.0,2316298.0,2132284.0,Compliant,Not outlier,129.39,0.93,1,15,15.308096064072153
117,187,NonResidential,Other,Central,1971,3.0,6,250981,0,250981,Other,137565.0,Public service,78357.0,Without,0.0,,145.6000061,13071700.0,4336524.5,8155002.0,580172.0,Compliant,Not outlier,422.39,1.68,2,45,16.38596014600217
118,189,SPS-District K-12,Education,Northwest,2002,1.0,3,62526,0,62526,Education,62526.0,Without,0.0,Without,0.0,96.0,70.59999847,1986094.875,0.0,1114389.0,871706.0,Error - Correct Default Data,Not outlier,54.07,0.86,1,14,14.501680894349537
119,338,NonResidential,Other,Downtown,2004,1.0,11,299070,68432,230638,Other,250000.0,Without,0.0,Without,0.0,,530.7000122,65336980.0,0.0,30651644.0,34685331.0,Compliant,Not outlier,2055.82,6.87,1,12,17.99506874329554
120,190,NonResidential,Office,Greater duwamish,2007,1.0,3,64015,0,64015,Office,30000.0,Warehouse,15000.0,Other,9015.0,21.0,165.8000031,3242077.75,0.0,2657382.0,584696.0,Compliant,Not outlier,49.58,0.77,3,9,14.991724963100001
121,194,NonResidential,Retail Store,North,1951,1.0,1,530039,0,530039,Retail Store,505103.0,Restaurant/Bar,24936.0,Without,0.0,98.0,118.9000015,27717034.0,0.0,16224529.0,11492503.0,Compliant,Not outlier,723.47,1.36,2,65,17.137557728004225
122,195,NonResidential,Other,North,1964,1.0,3,54224,0,54224,Hospital/Residential Care Facility,47012.0,Without,0.0,Without,0.0,,311.0,7265178.0,0.0,3344827.0,3920350.0,Compliant,Not outlier,231.53,4.27,1,52,15.798603355718722
123,197,NonResidential,Retail Store,North,1965,1.0,4,124342,0,124342,Retail Store,122000.0,Without,0.0,Without,0.0,76.0,223.6999969,8765978.0,0.0,8653621.0,112356.0,Compliant,Not outlier,66.3,0.53,1,51,15.986388650261187
124,198,NonResidential,Hospital,Northeast,1953,6.0,10,879000,0,879000,Hospital/Residential Care Facility,879000.0,Without,0.0,Without,0.0,10.0,578.2000122,253832464.0,0.0,115641210.0,138191238.0,Compliant,Not outlier,8145.52,9.27,1,63,19.352185016806082
126,205,SPS-District K-12,Education,Ballard,1999,1.0,2,242795,0,242795,Education,242795.0,Without,0.0,Without,0.0,80.0,107.3000031,9157150.0,0.0,7859464.0,1297685.0,Error - Correct Default Data,Not outlier,123.71,0.51,1,17,16.030045552866483
127,209,NonResidential,Self-Storage Facility,East,1910,1.0,5,84870,0,84870,Self-Storage Facility,85521.0,Without,0.0,Without,0.0,,28.79999924,1381590.125,0.0,482635.0,898955.0,Compliant,Not outlier,51.11,0.6,1,106,14.138745658278928
128,211,Campus,Education,Northwest,1970,11.0,2,694072,111625,582447,Education,667335.0,Without,0.0,Without,0.0,,161.1999969,35891484.0,0.0,33450832.0,2440648.0,Compliant,Not outlier,362.82,0.52,1,46,17.396010610834022
129,212,SPS-District K-12,Education,Southeast,1952,1.0,2,173185,0,173185,Education,173185.0,Without,0.0,Without,0.0,79.0,58.90000153,6127771.5,0.0,1800727.0,4327044.0,Error - Correct Default Data,Not outlier,242.36,1.4,1,64,15.628341701848347
130,214,SPS-District K-12,Education,Delridge,1963,1.0,1,145341,0,145341,Education,139069.0,Without,0.0,Without,0.0,75.0,69.5,5499097.0,0.0,1864967.0,3634130.0,Error - Correct Default Data,Not outlier,206.01,1.42,1,53,15.520094454905207
131,215,NonResidential,Warehouse,Greater duwamish,1904,1.0,4,114297,0,114297,Warehouse,114297.0,Without,0.0,Without,0.0,61.0,36.0,2100097.75,0.0,912475.0,1187623.0,Compliant,Not outlier,69.44,0.61,1,112,14.557494449229392
132,216,SPS-District K-12,Education,Southeast,1960,1.0,2,184125,0,184125,Education,184125.0,Without,0.0,Without,0.0,86.0,84.19999695,8800292.0,0.0,2999862.0,5800430.0,Error - Correct Default Data,Not outlier,328.97,1.79,1,56,15.990295460716112
134,220,NonResidential,Warehouse,Greater duwamish,1937,1.0,1,234144,0,234144,Warehouse,234144.0,Without,0.0,Without,0.0,87.0,42.0,6744317.0,0.0,1316817.0,5427500.0,Compliant,Not outlier,297.43,1.27,1,79,15.724210782304098
135,223,NonResidential,Retail Store,Delridge,1966,1.0,1,64984,0,64984,Retail Store,65425.0,Without,0.0,Without,0.0,72.0,130.6999969,2944296.25,0.0,2613687.0,330609.0,Compliant,Not outlier,35.78,0.55,1,50,14.895380382164946
136,224,NonResidential,Retail Store,Delridge,1965,1.0,1,67745,0,67745,Retail Store,67782.0,Without,0.0,Without,0.0,37.0,223.8999939,9230223.0,0.0,2624102.0,6606121.0,Compliant,Not outlier,369.14,5.45,1,51,16.037993766533873
137,225,SPS-District K-12,Education,Delridge,2010,1.0,2,367884,0,367884,Education,367884.0,Without,0.0,Without,0.0,97.0,81.59999847,12265516.0,0.0,8205020.0,4060496.0,Compliant,Not outlier,272.85,0.74,1,6,16.32230230572332
138,226,SPS-District K-12,Education,Delridge,1958,1.0,1,46797,0,46797,Education,46797.0,Without,0.0,Without,0.0,86.0,82.19999695,2075891.0,0.0,797204.0,1278687.0,Error - Correct Default Data,Not outlier,73.47,1.57,1,58,14.545901017072534
140,228,NonResidential,Other,Ballard,1973,1.0,3,56000,0,56000,Other,56000.0,Without,0.0,Without,0.0,,66.19999695,1851260.5,0.0,844864.0,1006396.0,Compliant,Not outlier,59.34,1.06,1,43,14.43137731639141
141,229,SPS-District K-12,Education,Southeast,2004,1.0,2,67371,0,67371,Education,67371.0,Without,0.0,Without,0.0,92.0,78.0,2128459.0,0.0,1445339.0,683120.0,Error - Correct Default Data,Not outlier,46.36,0.69,1,12,14.570908801673466
142,230,NonResidential,Self-Storage Facility,Southwest,1969,1.0,2,52088,0,52088,Self-Storage Facility,52088.0,Without,0.0,Without,0.0,,48.79999924,1377519.5,0.0,523765.0,853755.0,Compliant,Not outlier,48.99,0.94,1,47,14.135794975988865
