,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,NumberOfUse,BuildingAge,SiteEnergyUse(log(kBtu))
1610,22818,NonResidential,Distribution Center,Delridge,1980,1.0,1,24100,0,24100,Distribution Center,20100.0,Warehouse,3500.0,Without,0.0,22.0,60.09999847,809870.8125,0.0,271509.0,538362.0,Compliant,Not outlier,30.49,1.27,2,36,13.60463002318788
1611,22830,NonResidential,Worship Facility,Southwest,1971,1.0,1,23772,0,23772,Worship Facility,23772.0,Without,0.0,Without,0.0,100.0,13.30000019,100841.7031,0.0,100842.0,0.0,Non-Compliant,Low outlier,0.7,0.03,1,45,11.521307270290533
1619,22860,NonResidential,Mixed Use Property,Northwest,1996,1.0,3,55912,22850,33062,Parking,24052.0,Office,23501.0,Retail Store,9561.0,,232.6999969,2450442.75,0.0,2450443.0,0.0,Compliant,Not outlier,17.08,0.31,3,20,14.711779280479764
1620,22863,NonResidential,Other,Magnolia / queen anne,1957,1.0,2,20294,0,20294,Other,18000.0,Office,2294.0,Without,0.0,,145.1000061,1735995.75,0.0,536408.0,1199588.0,Compliant,Not outlier,67.45,3.32,2,59,14.367091726042753
1621,22866,NonResidential,Office,Magnolia / queen anne,1983,1.0,4,40571,10849,29722,Office,24008.0,Without,0.0,Without,0.0,64.0,168.3000031,1286817.375,0.0,1286817.0,0.0,Compliant,Not outlier,8.97,0.22,1,33,14.067682576742639
1623,22881,NonResidential,Mixed Use Property,Magnolia / queen anne,1960,1.0,2,57644,0,57644,Office,20176.0,Other,19440.0,Warehouse,15490.0,,102.0999985,2189735.0,0.0,1591510.0,598225.0,Compliant,Not outlier,42.87,0.74,3,56,14.599291089904831
1624,22883,NonResidential,Warehouse,Magnolia / queen anne,1955,1.0,2,39497,0,39497,Warehouse,25547.0,Office,13950.0,Without,0.0,9.0,116.3000031,1700057.375,0.0,1344071.0,355986.0,Compliant,Not outlier,28.28,0.72,2,61,14.346172558456926
1637,22940,NonResidential,Office,Northwest,1982,1.0,2,27574,0,27574,Office,27574.0,Without,0.0,Without,0.0,73.0,137.8999939,1211349.25,0.0,1211349.0,0.0,Compliant,Not outlier,8.44,0.31,1,34,14.007245378974682
1641,22953,NonResidential,Retail Store,North,1965,1.0,1,24982,0,24982,Retail Store,24982.0,Without,0.0,Without,0.0,99.0,42.09999847,335245.0,0.0,335245.0,0.0,Error - Correct Default Data,Not outlier,2.34,0.09,1,51,12.722616886789604
1648,22962,NonResidential,Office,Northwest,1987,1.0,3,76105,27307,48798,Office,76105.0,Without,0.0,Without,0.0,91.0,102.0,2472350.25,0.0,2472350.0,0.0,Compliant,Not outlier,17.24,0.23,1,29,14.720679774416283
1656,23011,NonResidential,Retail Store,North,1966,1.0,1,41615,0,41615,Retail Store,41615.0,Without,0.0,Without,0.0,69.0,143.3999939,1900006.25,0.0,1900006.0,0.0,Error - Correct Default Data,Not outlier,13.25,0.32,1,50,14.457367733604944
1657,23017,NonResidential,Medical Office,North,1988,1.0,3,28841,0,28841,Hospital/Residential Care Facility,28841.0,Without,0.0,Without,0.0,55.0,122.4000015,1459199.75,0.0,955324.0,503875.0,Compliant,Not outlier,33.42,1.16,1,28,14.193398726975435
1659,23022,Nonresidential COS,Other,North,2005,2.0,1,30498,0,30498,Entertainment,30498.0,Without,0.0,Without,0.0,,156.8999939,2436063.0,0.0,1066226.0,1369837.0,Compliant,Not outlier,80.19,2.63,1,11,14.705893769546472
1664,23040,NonResidential,Education,Delridge,1924,1.0,2,42975,0,42975,Education,21405.0,Without,0.0,Without,0.0,92.0,64.0,959352.0,0.0,173165.0,786187.0,Compliant,Not outlier,42.96,1.0,1,92,13.774013335528952
1666,23049,NonResidential,Other,Delridge,1963,1.0,1,23260,0,23260,Retail Store,13075.0,Office,10185.0,Without,0.0,,137.3999939,1612105.75,0.0,719779.0,892327.0,Compliant,Not outlier,52.41,2.25,5,53,14.293051801633984
1669,23056,NonResidential,Other,Magnolia / queen anne,1920,1.0,2,27144,0,27144,Other,27144.0,Without,0.0,Without,0.0,,74.5,1012024.313,0.0,458796.0,553228.0,Compliant,Not outlier,32.58,1.2,1,96,13.827463153244517
1670,23064,NonResidential,Other,Northwest,1970,5.0,1,23166,0,23166,Other,23166.0,Without,0.0,Without,0.0,,157.5,3475804.25,0.0,3.0,3475801.0,Compliant,Not outlier,184.6,7.97,1,46,15.061336449052112
1678,23098,NonResidential,Supermarket/Grocery Store,Greater duwamish,1965,1.0,1,21603,0,21603,Supermarket/Grocery Store,21603.0,Without,0.0,Without,0.0,16.0,660.9000244,5833800.0,0.0,3900058.0,1933742.0,Compliant,Not outlier,129.89,6.01,1,51,15.579179147025803
1691,23115,NonResidential,Distribution Center,Delridge,1979,1.0,1,42900,0,42900,Distribution Center,43050.0,Without,0.0,Without,0.0,53.0,31.79999924,436252.5,0.0,436253.0,0.0,Compliant,Not outlier,3.04,0.07,1,37,12.98597648314138
1692,23117,Campus,Other,Delridge,2005,5.0,1,57952,0,57952,Education,57952.0,Without,0.0,Without,0.0,,109.1999969,3091387.5,0.0,1474450.0,1616937.0,Compliant,Not outlier,96.15,1.66,1,11,14.944130577216733
1693,23120,NonResidential,Other,Delridge,1971,1.0,1,26232,0,26232,Other,18262.0,Office,7970.0,Without,0.0,,195.6999969,3094090.0,0.0,902081.0,2192009.0,Compliant,Not outlier,122.71,4.68,2,45,14.945004398250585
1698,23158,NonResidential,Warehouse,Downtown,1956,1.0,2,25840,0,25840,Warehouse,25840.0,Without,0.0,Without,0.0,92.0,38.09999847,313528.0938,0.0,313528.0,0.0,Compliant,Not outlier,2.19,0.08,1,60,12.6556442484372
1699,23161,NonResidential,Office,Downtown,1988,1.0,1,45145,0,45145,Office,43813.0,Without,0.0,Without,0.0,,54.90000153,1268459.0,0.0,514491.0,753968.0,Compliant,Not outlier,43.63,0.97,1,28,14.053313335859386
1701,23164,NonResidential,Office,Downtown,2001,1.0,5,70332,22095,48237,Office,44417.0,Parking,25915.0,Without,0.0,89.0,134.6000061,1981115.25,0.0,1866104.0,115011.0,Compliant,Not outlier,19.12,0.27,2,15,14.499170501676469
1727,23231,NonResidential,Retail Store,Northwest,1979,1.0,2,20088,508,20088,Retail Store,16080.0,Office,3500.0,Parking,508.0,,52.40000153,326778.6875,0.0,326778.0,0.0,Compliant,Not outlier,2.28,0.11,3,37,12.697038424113073
1732,23265,Campus,Other,Greater duwamish,1989,5.0,2,138907,0,138907,Other,139557.0,Without,0.0,Without,0.0,,135.8000031,7837692.5,0.0,5130303.0,2707389.0,Compliant,Not outlier,179.55,1.29,1,27,15.874455025025195
1734,23277,NonResidential,Warehouse,Greater duwamish,1900,1.0,1,20200,0,20200,Warehouse,18700.0,Office,1500.0,Without,0.0,,41.0,269016.6875,0.0,260808.0,8209.0,Compliant,Not outlier,2.25,0.11,2,116,12.50252869197585
1745,23297,NonResidential,Residence Hall,East,1904,1.0,1,44086,0,44086,Residence Hall,44091.0,Without,0.0,Without,0.0,29.0,151.3999939,3652708.75,1920474.25,1218944.0,513291.0,Compliant,Not outlier,184.0,4.17,1,112,15.110979573609024
